,id,Resource Name,Launch URL,Launch URL Languge,Organisation Name,Launch URL Date,Resources Offered,Access Method,Operating Hours,Freeform Address,Postcode,State/WP,City,GPS Plus Code,Contact Method(s),Contact Number(s),Latest Social Media Post URL,Latest Social Media Post Date,Imported by User,Info Source,Import Batch Name,Import Date,GPS Latitude,GPS Longitude,Resource End Date,Contact Name,Religious,Any Other Limits?,Access Method Other,Donations Bank Info,Donations Accepted,Freeform Notes Misc,Resource Freeform Notes,Other Contact Details,Contact Freeform Info,Must Contact First,Quantity Limits,Other Limits Details,Unique Identifier(RL),Import Status,Covers Area?,Donations Accepted Other,Estimated Supply Levels,Launch Freeform Text,Government Funded,Inactive?,Resources Offered Other,Launch URL Language Other,createdTime
13,recPx7CxtL79qu8KP,Food Bank at CELCOM Jalan Beserah,https://www.facebook.com/celcomstorebeserah/photos/pcb.364656641985982/364656525319327/,['Malay'],Company,2021-07-07,['General Supplies'],['Self-Service'],10.00am-7.00pm,"A-1922, Jalan Berserah, Pahang, 25300 Kuantan",25300.0,Pahang,Kuantan,"R8FM+VW Kuantan, Pahang",['WhatsApp'],0193555736,https://www.facebook.com/celcomstorebeserah/photos/pcb.364656641985982/364656525319327/,2021-07-07,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T16:25:17.000Z,3.8246875,103.3348125,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-12T16:25:17.000Z
14,rec4mPSIE5PJnlTBq,Kedai RM2 Abu Azeem IM15 Kuantan,https://www.facebook.com/106235567609925/posts/357091065857706/,['Malay'],Company,2021-06-30,['General Supplies'],['Self-Service'],"Daily, 9.30am - 7.30pm (Except PH)","B36 & B38, Lorong IM 15/18, Astana View, 25200 Kuantan, Pahang",25200.0,Pahang,Kuantan,"R7HC+9H Kuantan, Pahang","['Call', 'WhatsApp', 'FB Message']",019-919 9062,https://www.facebook.com/106235567609925/posts/357091065857706/,2021-06-30,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T16:34:40.000Z,3.8284374999999997,103.2714375,,,,,,ZAHARAH BINTI ABD GHANI CIMB 7050162737,['Funding'],,,https://www.facebook.com/rm2abuazeem/,,,,,,,,,,,,,,,2021-07-12T16:34:40.000Z
15,rec7sI5nkpoBujq9x,KIM KUANTAN SEAFOOD RESTAURANT,https://www.facebook.com/story.php?story_fbid=10158237275098240&id=157644273239,['Malay'],N/A,2021-06-30,['General Supplies'],['Self-Service'],Wednesday 14 July and Sunday 18 July (2pm),"No 60 Jalan Dato' Wong Ah Jang, 25100 Kuantan",25100.0,Pahang,Kuantan,"R85C+69 Kuantan, Pahang",['FB Message'],,https://www.facebook.com/story.php?story_fbid=10158237275098240&id=157644273239,2021-06-30,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T16:48:43.000Z,3.8080624999999992,103.3209375,,,,['One-Off Offer'],,,,,"offers rice, sugar, flour, salt, and oil",https://www.facebook.com/pages/Kim%20Kuantan%20Seafood%20Restaurant/2292648840948883,,,200 quantity each for 6 items,Seems to be offered only on 2 dates (14 and 18th July). Not sure if food banks will continue beyond 18th July,,,,,,,,,,,2021-07-12T16:48:43.000Z
16,recepBLDPCdmZOgtc,TTDI,,,Shell,,['General Supplies'],['Self-Service'],"Daily, petrol station hrs","Jalan Damansara, Taman Tun Dr Ismail,",60000.0,Kuala Lumpur,TTDI,"4JRG+FM Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",['Call'],03-7733 1588 after 12pm,,,badblackguy,,Initial Import,2021-07-13T06:49:03.000Z,3.1411875,101.6266875,,En Syukri,,,,,,Branch initiative,,,,,2-3 items,,ImportRL10,4-Upgraded: Ready to Contact,,,,,,,,,2021-07-13T06:49:03.000Z
17,rec5U19ZCctIb6V1s,TTDI,,,Petronas,,['General Supplies'],['Self-Service'],"Daily, petrol station hrs","Lot 29395 & 29396, Persiaran Zaaba, Taman Tun Dr Ismail,",60000.0,Kuala Lumpur,TTDI,"4JRG+R6 Taman Tun Dr Ismail, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",['Call'],03-7710 7311,,,badblackguy,,Initial Import,2021-07-13T06:49:04.000Z,3.1420624999999998,101.6255625,,En Zul,,,,,,Branch initiative,,,,,2-3 items,,ImportRL11,4-Upgraded: Ready to Contact,,,,,,,,,2021-07-13T06:49:04.000Z
18,recn3GS6MCJp3tijM,真佛宗心燈堂 PABT Chen Foh Chong Xin Deng Tang ,https://www.facebook.com/xindengtang/posts/5728743817167525,"['Mandarin', 'Malay', 'English']",真佛宗心燈堂 PABT Chen Foh Chong Xin Deng Tang ,2021-07-01,['General Supplies'],"['Arrange Pickup', 'Home Delivery']","Tues-Sat 11am-6pm, Sun 10am-5pm","KL/Selangor areas: Ampang, Cheras, KL City, Jalan Ipoh, Kepong, Selayang, Segambut, Salak South, Kuchai Lama, Sungai Besi, Klang  Main organisation address: A15/4/4, Business Avenue, One Ampang Avenue,Jalan Ampang Utama 2/2, Off Jalan Ampang 68000 Ampang, Selangor, Malaysia",,Selangor,,,"['WhatsApp', 'FB Message']","Ampang (03-4252-1082), Cheras/KL City (019-855-4314), Jalan Ipoh/Kepong/Selayang/Segambut (012-622-1556), Salak South/Kuchai Lama/Sungai Besi (012-703-0707), Klang (011-262-76870)",https://www.facebook.com/xindengtang/posts/5770639289644644,2021-07-10,bunbun,Social Media Post,Initial Import,2021-07-11T11:36:27.000Z,,,,"Ampang (Mdm Chong), Cheras/KL City (Mr Chan), Jalan Ipoh/Kepong/Selayang/Segambut (Mr Ivan), Salak South/Kuchai Lama/Sungai Besi (Mr Lew), Klang (Mdm Lim)",Buddhist,"['Region Locked', 'ID/Photo Required']",,,['Other'],This organisation has branches in Johor (Lotus Light Charity Society Johor Service Centre) and Perak that offers the same service.,Has to send image of residence with white flag,"03-4252 1082, xindengtang@gmail.com, http://xindengtang.blogspot.com/",Any race and religion accepted. Goods will be sent within 72 hours.,True,,"Has people stationed in different cities to try to cover as much of Selangor/KL as possible, more details in Freeform Address",,,True,Accepts volunteers to help buy groceries and distribution of goods,,,,,,,2021-07-11T11:36:27.000Z
19,recrYdMEi6YtsJhDu,"华光功德会霹雳分会 Lotus Light Charity Society Perak Branch, Malaysia",https://www.facebook.com/llcsperak/posts/5987657861275121,"['Mandarin', 'Malay', 'English']",真佛宗心燈堂 PABT Chen Foh Chong Xin Deng Tang,2021-07-04,['General Supplies'],"['Arrange Pickup', 'Home Delivery']",Mon-Fri 10am-5pm,"Perak areas: Gopeng, Ipoh Garden, Taman Klebang Ria, Batu Gajah, Kampung Tawas, Gunung Rapat",,Perak,,,"['WhatsApp', 'FB Message']","Gopeng (011-5502 5245), Ipoh Garden (019-559 9708), Taman Klebang Ria (012-523 0192), Batu Gajah (016-567 0921), Kampung Tawas/Gunung Rapat (016-590 3022)",https://www.facebook.com/llcsperak/posts/6013153918725515,2021-07-09,bunbun,Social Media Post,Initial Import,2021-07-11T14:25:47.000Z,,,,"Gopeng (LLCS Perak Official WhatsApp), Ipoh Garden (Madam Chong), Taman Klebang Ria (Madam Chee), Batu Gajah (Sunny Yong), Kampung Tawas/Gunung Rapat (Mr. Chan)",Buddhist,"['Region Locked', 'ID/Photo Required']",,,['Other'],Has a branch in Perak offering same service,Has to send image of residence with white flag,"@llcsperak, Malaysia, https://perak.lotuslight.org.my/, 010-933 5245,  llcs.perak@gmail.com",,True,,"Covers several areas in Perak, more info in Freeform Address",,,True,Accepts volunteers to help buy groceries and distribution of goods,,,,,,,2021-07-11T14:25:47.000Z
20,rec8G1mBdnZedHKG1,华光功德会-大柔佛区（服务中心）Lotus Light Charity Society Johor Service Centre,https://www.facebook.com/LotusLightCharitySociety.Johor.MY/posts/106305108293507,"['Mandarin', 'English']",真佛宗心燈堂 PABT Chen Foh Chong Xin Deng Tang,2021-05-06,"['General Supplies', 'Premade Meals']","['Organisations Only', 'Home Delivery', 'Arrange Pickup']",?,"Johor areas: Johor Bahru, Pekan Nenas, Kota Tinggi, Skudai, Kulai",,Johor,,,"['WhatsApp', 'Call']","011-3191-8211, 016-778-0622, 012-782-8200, 012-736-1417",https://www.facebook.com/LotusLightCharitySociety.Johor.MY/posts/134637848793566,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T14:56:29.000Z,,,,"Lotus Light Charity Society (Johor), Mandy, Peter, 颖欣(Ying Xin)",Buddhist,['Region Locked'],,金海同修會大众银行 PUBLIC BANK 3156 918 920 Per. Penganut Agama Buddha Tantrayana Pulai Utama,"['Funding', 'Other']",Has a branch in Johor offering same service,Covers multiple area in Johor,,,True,,,,,True,Accepts volunteers to help buy groceries and distribution of goods,,,,,,,2021-07-11T14:56:29.000Z
21,recYhmm9utyFdctGu,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Johor,,,"['WhatsApp', 'Call']",012-647-3453,https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T15:41:24.000Z,,,,Scott Koh,,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T15:41:24.000Z
22,recOvanP5nDvt5ZAT,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Kedah,,,"['WhatsApp', 'Call']","011-3594 0931, 012-425 9293",https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T15:50:02.000Z,,,,"Ng Poh Chee, Lim Kean Leng",,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T15:50:02.000Z
23,recqsJ7hvFmcYGTLK,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Kelantan,,,"['WhatsApp', 'Call']","012-683 3309, 011-3159 2568",https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T15:56:17.000Z,,,,"Irene Tan, Terrence Lee",,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T15:56:17.000Z
24,recjQswia9vmQkcDg,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Malacca,,,"['WhatsApp', 'Call']",012-647-3453,https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T15:59:59.000Z,,,,Scott Koh,,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T15:59:59.000Z
25,recktxGiQpLHhr0kU,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Negeri Sembilan,,,"['WhatsApp', 'Call']",018-216 7777 ,https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T16:00:55.000Z,,,,CK Lew,,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T16:00:55.000Z
26,reccUQ0PUVTASRGK0,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['Supply Packs', 'General Supplies']","['Arrange Pickup', 'Home Delivery']",?,"Central Pahang: Temerloh, Bera, Jerantut, Kuala Krau | Pahang Barat: Bentong, Raub, Lipis, Cameron Highlands | Pahang Timur: Kuantan, Paya Besar, Indera Mahkota, Rompin, Pekan, Maran",,Pahang,"Central Pahang: Temerloh, Bera, Jerantut, Kuala Krau | Pahang Barat: Bentong, Raub, Lipis, Cameron Highlands | Pahang Timur: Kuantan, Paya Besar, Indera Mahkota, Rompin, Pekan, Maran",,"['WhatsApp', 'Call']","Central Pahang (013-388-8580), Pahang Timur (019-912-1800), Pahang Barat (019-960-7201, 013-323-3379, 016939-3187)",https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T16:18:06.000Z,,,,"Central Pahang (Wong Tze Shiang), Pahang Timur (Quek Tai Seong), Pahang Barat (Lim Sang Hong, 张家乐, 罗福煌大队长)",,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Funding', 'Other']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T16:18:06.000Z
27,rec3pYOEy6TQU0J2E,大马人 We Are Malaysians,https://www.facebook.com/permalink.php?story_fbid=105712798447747&id=105153055170388&substory_index=0,"['Mandarin', 'Malay']","Lions Club International, Lions Club of Selangor Unity, Lions Club of Selangor Stars, Malaysian Red Crescent (Selangor)",2021-07-06,"['General Supplies', 'Supply Packs']","['Arrange Pickup', 'Home Delivery']",?,?,,Penang,,,"['WhatsApp', 'Call']","017-478 5898, 012-478 2894",https://www.facebook.com/permalink.php?story_fbid=110443824641311&id=105153055170388,2021-07-11,bunbun,Social Media Post,Initial Import,2021-07-11T16:19:15.000Z,,,,"Low Kean Boon, Lee Thuan Chye",,,,CIMB Bank 8009944800 (Lions Club of Selangor Stars),"['Other', 'Funding']",,,,,True,,,,,True,"rice (5kg), cooking oil (1kg), bihun (1pkt), instant maggie sup (1pkt), instant maggie goreng (1pkt), kacang panggang (2 tins), sardins (2 tins), milo (1kg), nestum (250kg), fine salt (1kg), coarse sugar (1kg), Hwa Tai Cream Cracker (1pkt), onions (1kg), garlic (1kg), potatoes (1kg), surgical masks (10pcs), hand sanitizer (1 bottle)",,,,,,,2021-07-11T16:19:15.000Z
